ticker,fiscal_year,roe,source
AOT,2016,0.170254,sec
AOT,2017,0.172119,sec
AOT,2018,0.182875,sec
AOT,2019,0.168074,sec
AOT,2020,0.029180,sec
AOT,2021,-0.128227,sec
AOT,2022,-0.103786,sec
AOT,2023,0.083015,sec
AOT,2024,0.163465,sec
AOT,2025,0.142085,sec
AP,2001,0.348108,sec
AP,2002,0.522497,sec
AP,2003,0.473661,sec
AP,2004,0.289044,sec
AP,2005,0.266007,sec
AP,2006,0.297196,sec
AP,2007,0.170128,sec
AP,2008,0.266270,sec
AP,2009,0.249221,sec
AP,2010,0.253872,sec
AP,2011,0.153756,sec
AP,2012,0.200973,sec
AP,2013,0.150886,sec
AP,2014,0.175211,sec
AP,2015,0.156612,sec
AP,2016,0.145781,sec
AP,2017,0.153780,sec
AP,2018,0.167954,sec
AP,2019,0.120728,sec
AP,2020,0.152049,sec
AP,2021,0.147208,sec
AP,2022,0.169896,sec
AP,2023,0.156236,sec
AP,2024,0.118930,sec
AP,2025,0.096185,sec
AURA,2021,0.255707,sec
AURA,2022,0.193067,sec
AURA,2023,0.160249,sec
AURA,2024,0.187934,sec
AURA,2025,0.212612,sec
BANPU,2025,-0.013962,set
BBL,2008,0.118773,sec
BBL,2009,0.112007,sec
BBL,2010,0.116737,sec
BBL,2011,0.116172,sec
BBL,2012,0.127684,sec
BBL,2013,0.126852,sec
BBL,2014,0.117771,sec
BBL,2015,0.100340,sec
BBL,2016,0.086523,sec
BBL,2017,0.085293,sec
BBL,2018,0.087630,sec
BBL,2019,0.086090,sec
BBL,2020,0.039949,sec
BBL,2021,0.057051,sec
BBL,2022,0.059388,sec
BBL,2023,0.081028,sec
BBL,2024,0.083886,sec
BBL,2025,0.081878,sec
BCH,2004,0.179571,sec
BCH,2005,0.097774,sec
BCH,2006,0.146538,sec
BCH,2007,0.185498,sec
BCH,2008,0.251282,sec
BCH,2009,0.295992,sec
BCH,2010,0.267330,sec
BCH,2011,0.211847,sec
BCH,2012,0.265865,sec
BCH,2013,0.153756,sec
BCH,2014,0.128811,sec
BCH,2015,0.124142,sec
BCH,2016,0.165164,sec
BCH,2017,0.163058,sec
BCH,2018,0.177011,sec
BCH,2019,0.169692,sec
BCH,2020,0.168359,sec
BCH,2021,0.624295,sec
BCH,2022,0.218505,sec
BCH,2023,0.103354,sec
BCH,2024,0.092485,sec
BCH,2025,0.093247,sec
BCP,2001,-0.728279,sec
BCP,2002,-0.851384,sec
BCP,2003,-0.424256,sec
BCP,2004,0.410719,sec
BCP,2005,0.258418,sec
BCP,2006,0.012398,sec
BCP,2007,0.088477,sec
BCP,2008,-0.036750,sec
BCP,2009,0.330092,sec
BCP,2010,0.106642,sec
BCP,2011,0.214352,sec
BCP,2012,0.138110,sec
BCP,2013,0.139156,sec
BCP,2014,0.020920,sec
BCP,2015,0.120679,sec
BCP,2016,0.127250,sec
BCP,2017,0.135652,sec
BCP,2018,0.055851,sec
BCP,2019,0.041043,sec
BCP,2020,-0.142229,sec
BCP,2021,0.152731,sec
BCP,2022,0.216494,sec
BCP,2023,0.196317,sec
BCP,2024,0.033128,sec
BCP,2025,0.045464,sec
BCPG,2015,0.341434,sec
BCPG,2016,0.176691,sec
BCPG,2017,0.144603,sec
BCPG,2018,0.151644,sec
BCPG,2019,0.117513,sec
BCPG,2020,0.100651,sec
BCPG,2021,0.081003,sec
BCPG,2022,0.093356,sec
BCPG,2023,0.037637,sec
BCPG,2024,0.060382,sec
BCPG,2025,0.028999,sec
BDMS,2001,0.094352,sec
BDMS,2002,0.086388,sec
BDMS,2003,0.110502,sec
BDMS,2004,0.107321,sec
BDMS,2006,0.141883,sec
BDMS,2007,0.114698,sec
BDMS,2008,0.134592,sec
BDMS,2009,0.124404,sec
BDMS,2010,0.147925,sec
BDMS,2011,0.184170,sec
BDMS,2012,0.229091,sec
BDMS,2013,0.161516,sec
BDMS,2014,0.169071,sec
BDMS,2015,0.157631,sec
BDMS,2016,0.154993,sec
BDMS,2017,0.171997,sec
BDMS,2018,0.137812,sec
BDMS,2019,0.201347,sec
BDMS,2020,0.084021,sec
BDMS,2021,0.092411,sec
BDMS,2022,0.145129,sec
BDMS,2023,0.163568,sec
BDMS,2024,0.163568,sec
BDMS,2025,0.153918,sec
BEM,2014,0.056873,sec
BEM,2015,0.096188,sec
BEM,2016,0.088736,sec
BEM,2017,0.102806,sec
BEM,2018,0.159750,sec
BEM,2019,0.146334,sec
BEM,2020,0.053433,sec
BEM,2021,0.026691,sec
BEM,2022,0.065000,sec
BEM,2023,0.092857,sec
BEM,2024,0.101534,sec
BEM,2025,0.102795,sec
BGRIM,2016,0.319339,sec
BGRIM,2017,0.173231,sec
BGRIM,2018,0.098284,sec
BGRIM,2019,0.098365,sec
BGRIM,2020,0.078208,sec
BGRIM,2021,0.079931,sec
BGRIM,2022,-0.042031,sec
BGRIM,2023,0.055547,sec
BGRIM,2024,0.041950,sec
BGRIM,2025,0.048200,sec
BH,2006,0.346503,sec
BH,2007,0.402494,sec
BH,2008,0.258519,sec
BH,2009,0.240985,sec
BH,2010,0.218071,sec
BH,2011,0.248107,sec
BH,2012,0.352759,sec
BH,2013,0.278425,sec
BH,2014,0.266628,sec
BH,2015,0.290939,sec
BH,2016,0.266537,sec
BH,2017,0.255464,sec
BH,2018,0.238224,sec
BH,2019,0.195052,sec
BH,2020,0.062545,sec
BH,2021,0.067882,sec
BH,2022,0.266991,sec
BH,2023,0.322087,sec
BH,2024,0.303174,sec
BH,2025,0.257470,sec
BJC,2001,0.047849,sec
BJC,2002,0.101968,sec
BJC,2003,0.162611,sec
BJC,2004,0.149560,sec
BJC,2005,0.114683,sec
BJC,2006,0.100573,sec
BJC,2007,0.132955,sec
BJC,2008,0.133231,sec
BJC,2009,0.126805,sec
BJC,2010,0.175059,sec
BJC,2011,0.181493,sec
BJC,2012,0.183835,sec
BJC,2013,0.170317,sec
BJC,2014,0.112086,sec
BJC,2015,0.174157,sec
BJC,2016,0.066413,sec
BJC,2017,0.049804,sec
BJC,2018,0.061283,sec
BJC,2019,0.064388,sec
BJC,2020,0.038050,sec
BJC,2021,0.035605,sec
BJC,2022,0.047266,sec
BJC,2023,0.045684,sec
BJC,2024,0.039588,sec
BJC,2025,0.038870,sec
BLA,2009,0.231346,sec
BLA,2010,0.308181,sec
BLA,2011,0.280689,sec
BLA,2012,0.196644,sec
BLA,2014,0.104064,sec
BLA,2017,0.100882,sec
BLA,2018,0.128410,sec
BLA,2019,0.105991,sec
BLA,2020,0.035608,sec
BLA,2021,0.067953,sec
BLA,2022,0.069253,sec
BLA,2023,0.057125,sec
BLA,2024,0.078330,sec
BLA,2025,0.134969,sec
BTS,2008,0.389034,sec
BTS,2009,0.005525,sec
BTS,2010,0.052677,sec
BTS,2011,0.009238,sec
BTS,2012,0.060105,sec
